Riding	Candidate	Party
Mississauga–Lakeshore	"Ras, Michael"	Conservative
Mississauga–Lakeshore	"Robertson, Elizabeth"	Green Party
Mississauga–Lakeshore	"Seyfaie, Vahid"	People's Party - PPC
Mississauga–Lakeshore	"Spengemann, Sven"	Liberal
Mississauga–Lakeshore	"Tahk, Kayleigh"	Parti Rhinocéros Party
Mississauga–Lakeshore	"Walji, Sarah"	NDP-New Democratic Party
Mississauga–Malton	"Ahmed, Waseem"	NDP-New Democratic Party
Mississauga–Malton	"Chilelli, Frank"	Marxist-Leninist
Mississauga–Malton	"Davidson, Mark"	Green Party
Mississauga–Malton	"Gaheer, Iqwinder"	Liberal
Mississauga–Malton	"Roach, Clyde"	Conservative
Mississauga–Streetsville	"Hassan, Farina"	NDP-New Democratic Party
Mississauga–Streetsville	"Hill, Chris"	Green Party
Mississauga–Streetsville	"Rattan, Jasveen"	Conservative
Mississauga–Streetsville	"Spizzirri, Natalie"	Animal Protection Party
Mississauga–Streetsville	"Valdez, Rechie"	Liberal
Mississauga–Streetsville	"Wolosz, Gurdeep"	People's Party - PPC
Nepean	"Arya, Chandra"	Liberal
Nepean	"Devine, Sean"	NDP-New Democratic Party
Nepean	"Kubanek, Gordon"	Green Party
Nepean	"Nera, Jay"	People's Party - PPC
Nepean	"Triemstra, Matt"	Conservative
Newmarket–Aurora	"Baxter, Dorian"	Independent
Newmarket–Aurora	"Flemming, Tim"	Green Party
Newmarket–Aurora	"Gagnon, Andre"	People's Party - PPC
Newmarket–Aurora	"Kelly, Yvonne"	NDP-New Democratic Party
Newmarket–Aurora	"Kim, Harold"	Conservative
Newmarket–Aurora	"Van Bynen, Tony"	Liberal
Niagara Centre	"Badawey, Vance"	Liberal
Niagara Centre	"Kimmons, Michael"	People's Party - PPC
Niagara Centre	"McCartney, Kurtis"	Green Party
Niagara Centre	"McGlashan, Melissa"	NDP-New Democratic Party
Niagara Centre	"Speck, Graham"	Conservative
Niagara Falls	"Baldinelli, Tony"	Conservative
Niagara Falls	"Barker, Brian"	NDP-New Democratic Party
Niagara Falls	"Holm, Melanie"	Green Party
Niagara Falls	"Kaiser, Andrea"	Liberal
Niagara Falls	"Taras, Peter"	People's Party - PPC
Niagara West	"Allison, Dean"	Conservative
Niagara West	"Bingham, Ian"	Liberal
Niagara West	"Derkson, Shaunalee"	People's Party - PPC
Niagara West	"Jonker, Harold"	Christian Heritage Party
Niagara West	"Kocsis, Joanna"	Green Party
Niagara West	"Rahman, Nameer"	NDP-New Democratic Party
Nickel Belt	"Chénier, Andréane Simone"	NDP-New Democratic Party
Nickel Belt	"Gravelle, Craig"	Green Party
Nickel Belt	"Hobbs, David"	People's Party - PPC
Nickel Belt	"Humphrey, Charles"	Conservative
Nickel Belt	"Serré, Marc G"	Liberal
Nipissing–Timiskaming	"Galante, Gregory J"	People's Party - PPC
Nipissing–Timiskaming	"Robertson, Scott"	NDP-New Democratic Party
Nipissing–Timiskaming	"Rota, Anthony"	Liberal
Nipissing–Timiskaming	"Trahan, Steven"	Conservative
Northumberland–Peterborough South	"Lang, Nathan"	People's Party - PPC
Northumberland–Peterborough South	"Lawrence, Philip"	Conservative
Northumberland–Peterborough South	"Lester, Alison"	Liberal
Northumberland–Peterborough South	"McArthur-Jackson, Kim"	NDP-New Democratic Party
Northumberland–Peterborough South	"Wilson, Christina"	Green Party
Oakville	"Adamo, Jerome"	NDP-New Democratic Party
Oakville	"Anand, Anita"	Liberal
Oakville	"Colborne, Kerry"	Conservative
Oakville	"Knox, Oriana"	Green Party
Oakville	"Meaney, JD"	People's Party - PPC
Oakville North–Burlington	"Damoff, Pam"	Liberal
Oakville North–Burlington	"Dupuis, Lenaee"	NDP-New Democratic Party
Oakville North–Burlington	"Jubinville, Gilbert"	People's Party - PPC
Oakville North–Burlington	"Rizkalla, Hanan"	Conservative
Oakville North–Burlington	"Sousa, Bruno"	Green Party
Oshawa	"Carrie, Colin"	Conservative
Oshawa	"Hossain, Afroza"	Liberal
Oshawa	"MacKie, Darryl"	People's Party - PPC
Oshawa	"Mir, Sonny"	Green Party
Oshawa	"Panylo, Shailene"	NDP-New Democratic Party
Ottawa Centre	"Bertrand, Shelby"	Animal Protection Party
Ottawa Centre	"Clemenhagen, Carol"	Conservative
Ottawa Centre	"Joyal, Richard ""Rich"""	Independent
Ottawa Centre	"Keller-Herzog, Angela"	Green Party
Ottawa Centre	"MacEwen, Angella"	NDP-New Democratic Party
Ottawa Centre	"McDonald, Alex"	Communist
Ottawa Centre	"Naqvi, Yasir"	Liberal
Ottawa Centre	"Watteel, Regina"	People's Party - PPC
Orléans	"Cléroux, André Junior"	Free Party Canada
Orléans	"Hartnett, Michael"	Green Party
Orléans	"Joanis, Jessica"	NDP-New Democratic Party
Orléans	"Lalonde, Marie-France"	Liberal
Orléans	"Oklobdzija, Spencer"	People's Party - PPC
Orléans	"Wolfe, Mary-Elsie"	Conservative
Ottawa South	"Hall, Chylow"	People's Party - PPC
Ottawa South	"McGuinty, David"	Liberal
Ottawa South	"Mukbil, Huda"	NDP-New Democratic Party
Ottawa South	"Schram, Les"	Green Party
Ottawa South	"Tannis, Eli"	Conservative
Ottawa South	"Wasslen, Larry"	Communist
Ottawa–Vanier	"Bourguignon, Crystelle"	Free Party Canada
Ottawa–Vanier	"Desgranges, Jean-Jacques"	People's Party - PPC
Ottawa–Vanier	"Elford, Daniel"	Libertarian
Ottawa–Vanier	"Fortier, Mona"	Liberal
Ottawa–Vanier	"Inamuco, Lyse-Pascale"	NDP-New Democratic Party
Ottawa–Vanier	"Jensen, Heidi"	Conservative
Ottawa–Vanier	"Leriche, Marie-Chantal TaiEl"	Independent
Ottawa–Vanier	"Proulx, Christian"	Green Party
Ottawa West–Nepean	"Hameed, Yavar"	NDP-New Democratic Party
Ottawa West–Nepean	"Jennekens, Jennifer"	Conservative
Ottawa West–Nepean	"Mulligan, Sean"	Christian Heritage Party
Ottawa West–Nepean	"Stibbe, David"	Green Party
Ottawa West–Nepean	"Vandenbeld, Anita"	Liberal
Ottawa West–Nepean	"Yeo, David"	People's Party - PPC
Oxford	"Chambers, Matthew"	NDP-New Democratic Party
Oxford	"MacKenzie, Dave"	Conservative
Oxford	"Martin, Wendy"	People's Party - PPC
Oxford	"Quinto, Elizabeth"	Liberal
Oxford	"Reid, Bob"	Green Party
Oxford	"Scovil, Allen"	Christian Heritage Party
Parkdale–High Park	"Danzinger, Wilfried Richard Alexander"	People's Party - PPC
Parkdale–High Park	"Gershuny, Lorne"	Marxist-Leninist
Parkdale–High Park	"Marchand-Lafortune, Diem"	Green Party
Parkdale–High Park	"Parker, Terry"	Marijuana Party
Parkdale–High Park	"Sanajko, Nestor"	Conservative
Parkdale–High Park	"Taylor, Paul"	NDP-New Democratic Party
Parkdale–High Park	"Virani, Arif"	Liberal
Parry Sound–Muskoka	"Aitchison, Scott"	Conservative
Parry Sound–Muskoka	"Fawcett, James"	National Citizens Alliance
Parry Sound–Muskoka	"Hay, Heather"	NDP-New Democratic Party
Parry Sound–Muskoka	"Mantha, Marc"	Green Party
Parry Sound–Muskoka	"Nicoyishakiye, Jovanie"	Liberal
Parry Sound–Muskoka	"Predie Jr, Daniel"	Independent
Parry Sound–Muskoka	"Tole, James"	People's Party - PPC
Perth–Wellington	"Baker, Wayne"	People's Party - PPC
Perth–Wellington	"Knight, Brendan"	Liberal
Perth–Wellington	"Kruchkywich, Kevin"	NDP-New Democratic Party
Perth–Wellington	"Nater, John"	Conservative
Peterborough–Kawartha	"Bowers, Robert M."	Independent
Peterborough–Kawartha	"Ferreri, Michelle"	Conservative
Peterborough–Kawartha	"Lachica, Joy"	NDP-New Democratic Party
Peterborough–Kawartha	"Lawton, Paul"	People's Party - PPC
Peterborough–Kawartha	"Monsef, Maryam"	Liberal
Peterborough–Kawartha	"White, Chanté"	Green Party
Pickering–Uxbridge	"Chisu, Corneliu"	People's Party - PPC
Pickering–Uxbridge	"Higdon, Eileen"	NDP-New Democratic Party
Pickering–Uxbridge	"Mantle, Jacob"	Conservative
Pickering–Uxbridge	"O'Connell, Jennifer"	Liberal
Renfrew–Nipissing–Pembroke	"Ainsworth, David"	People's Party - PPC
Renfrew–Nipissing–Pembroke	"Gallant, Cheryl"	Conservative
Renfrew–Nipissing–Pembroke	"Klietsch, Stefan"	Independent
Renfrew–Nipissing–Pembroke	"Lariviere, Michael"	Green Party
Renfrew–Nipissing–Pembroke	"Mills, Cyndi"	Liberal
Renfrew–Nipissing–Pembroke	"Primeau, Jodie"	NDP-New Democratic Party
Richmond Hill	"Devita, Adam"	NDP-New Democratic Party
Richmond Hill	"Dipaola, Charity"	Independent
Richmond Hill	"Jowhari, Majid"	Liberal
Richmond Hill	"Keller, Angelika"	Independent
Richmond Hill	"Menegakis, Costas"	Conservative
Richmond Hill	"Tvorogov, Igor"	People's Party - PPC
Carleton	"Crawley, Peter"	People's Party - PPC
Carleton	"Dookeran, Nira"	Green Party
Carleton	"Hua, Kevin"	NDP-New Democratic Party
Carleton	"Poilievre, Pierre"	Conservative
Carleton	"Roy, Gustave"	Liberal
St. Catharines	"Bittle, Chris"	Liberal
St. Catharines	"Hahn, Rebecca"	People's Party - PPC
St. Catharines	"McLennon, Trecia"	NDP-New Democratic Party
St. Catharines	"Rhodes, Catharine"	Green Party
St. Catharines	"Waler, Krystina"	Conservative
Toronto–St. Paul's	"Bennett, Carolyn"	Liberal
Toronto–St. Paul's	"Coles, Sidney"	NDP-New Democratic Party
Toronto–St. Paul's	"De Luna, Phil"	Green Party
Toronto–St. Paul's	"Osadchuk, Stephanie"	Conservative
Toronto–St. Paul's	"Remedios, Peter"	People's Party - PPC
Sarnia–Lambton	"Bunko, Stefanie"	Green Party
Sarnia–Lambton	"Everaert, Brian"	People's Party - PPC
Sarnia–Lambton	"Gladu, Marilyn"	Conservative
Sarnia–Lambton	"Kilner, Adam"	NDP-New Democratic Party
Sarnia–Lambton	"Laird, Tom"	Christian Heritage Party
Sarnia–Lambton	"Nantais, Lois"	Liberal
Sault Ste. Marie	"Makowski, Kasper"	People's Party - PPC
Sault Ste. Marie	"Morin-Strom, Marie"	NDP-New Democratic Party
Sault Ste. Marie	"Sheehan, Terry"	Liberal
Sault Ste. Marie	"Spina, Sonny"	Conservative
Scarborough–Agincourt	"Balasingham, Arjun"	Green Party
Scarborough–Agincourt	"Johnson, Mark"	Conservative
Scarborough–Agincourt	"Julius, Larisa"	NDP-New Democratic Party
Scarborough–Agincourt	"Muraven, Eric"	People's Party - PPC
Scarborough–Agincourt	"Yip, Jean"	Liberal
Scarborough Centre	"Kamal, Faiz"	NDP-New Democratic Party
Scarborough Centre	"Mathew, Aylwin T"	National Citizens Alliance
Scarborough Centre	"Ponnayan, Malcolm"	Conservative
Scarborough Centre	"Rozoveanu, Petru"	People's Party - PPC
Scarborough Centre	"Zahid, Salma"	Liberal
Scarborough–Guildwood	"Bountrogiannis, James"	People's Party - PPC
Scarborough–Guildwood	"Clarke, Kevin"	Independent
Scarborough–Guildwood	"Day, Opa"	Independent
Scarborough–Guildwood	"Khan, Aslam"	Centrist
Scarborough–Guildwood	"McKay, John"	Liberal
Scarborough–Guildwood	"Spencer, Michelle"	NDP-New Democratic Party
Scarborough–Guildwood	"Stefanis, Gus"	Nationalist
Scarborough–Guildwood	"Wilson, Carmen"	Conservative
Scarborough North	"Chen, Shaun"	Liberal
Scarborough North	"Khan, Sheraz"	Centrist
Scarborough North	"Love, Christina"	NDP-New Democratic Party
Scarborough North	"Moore, David"	People's Party - PPC
Scarborough North	"Shah, Fazal"	Conservative
Scarborough–Rouge Park	"Anandasangaree, Gary"	Liberal
Scarborough–Rouge Park	"Choudhary, Zia"	Conservative
Scarborough–Rouge Park	"Kwok, Kingsley"	NDP-New Democratic Party
Scarborough–Rouge Park	"Rehman, Asad"	People's Party - PPC
Scarborough Southwest	"Arale, Guled"	NDP-New Democratic Party
Scarborough Southwest	"Bhuiyan, Mohsin"	Conservative
Scarborough Southwest	"Blair, Bill"	Liberal
Scarborough Southwest	"Cain, Amanda"	Green Party
Scarborough Southwest	"Pache, Ramona"	People's Party - PPC
Scarborough Southwest	"Poon, David Edward-Ooi"	Independent
Simcoe–Grey	"Clayton, Nicholas"	Green Party
Simcoe–Grey	"Dowdall, Terry"	Conservative
Simcoe–Grey	"Gillies, Lucas"	NDP-New Democratic Party
Simcoe–Grey	"Minatel, Adam"	People's Party - PPC
Simcoe–Grey	"Munro, Bren"	Liberal
Simcoe–Grey	"Stouffer, Ken"	Christian Heritage Party
Simcoe North	"Brooks, Krystal"	Green Party
Simcoe North	"Chambers, Adam"	Conservative
Simcoe North	"Durnford, Janet-Lynne"	NDP-New Democratic Party
Simcoe North	"Emo, Russ"	Christian Heritage Party
Simcoe North	"Makk, Stephen"	People's Party - PPC
Simcoe North	"Wesley-Esquimaux, Cynthia"	Liberal
Spadina–Fort York	"Di Pasquale, Norm"	NDP-New Democratic Party
Spadina–Fort York	"Jandu, Sukhi"	Conservative
Spadina–Fort York	"Roden, Ian"	People's Party - PPC
Spadina–Fort York	"Rosenstock, Amanda"	Green Party
Spadina–Fort York	"Vuong, Kevin"	Liberal
Stormont–Dundas–South Glengarry	"Anber, David"	People's Party - PPC
Stormont–Dundas–South Glengarry	"Duncan, Eric"	Conservative
Stormont–Dundas–South Glengarry	"Kennedy, Trevor"	NDP-New Democratic Party
Stormont–Dundas–South Glengarry	"Moquin, Denis"	Liberal
Stormont–Dundas–South Glengarry	"Warnock, Jeanie"	Green Party
Sudbury	"Lapointe, Viviane"	Liberal
Sudbury	"Methé, Colette Andréa"	People's Party - PPC
Sudbury	"Popescu, J. David"	Independent
Sudbury	"Robinson, David Robert"	Green Party
Sudbury	"Symington, Ian"	Conservative
Sudbury	"Verrelli, Nadia"	NDP-New Democratic Party
Thornhill	"Gladstone, Gary"	Liberal
Thornhill	"Greenfield, Samuel"	People's Party - PPC
Thornhill	"Lantsman, Melissa"	Conservative
Thornhill	"Mikanovsky, Daniella"	Green Party
Thornhill	"Razvi, Raz"	NDP-New Democratic Party
Thunder Bay–Rainy River	"Aubut, Alan"	People's Party - PPC
Thunder Bay–Rainy River	"MacKinnon, Tracey"	Green Party
Thunder Bay–Rainy River	"Pecchia, Adelina"	Conservative
Thunder Bay–Rainy River	"Powlowski, Marcus"	Liberal
Thunder Bay–Rainy River	"Won, Yuk-Sem"	NDP-New Democratic Party
Thunder Bay–Superior North	"Bryson, Chantelle"	NDP-New Democratic Party
Thunder Bay–Superior North	"Daines, Rick"	People's Party - PPC
Thunder Bay–Superior North	"Hajdu, Patty"	Liberal
Thunder Bay–Superior North	"Moddejonge, Amanda"	Green Party
Thunder Bay–Superior North	"Taylor, Joshua"	Conservative
Thunder Bay–Superior North	"Vodden, Alexander"	Libertarian
Timmins–James Bay	"Angus, Charlie"	NDP-New Democratic Party
Timmins–James Bay	"Black, Steve"	Liberal
Timmins–James Bay	"Ellerton, Morgan"	Conservative
Timmins–James Bay	"MacLeod, Stephen"	People's Party - PPC
Toronto Centre	"Byard, Ivan"	Communist
Toronto Centre	"Chang, Brian"	NDP-New Democratic Party
Toronto Centre	"Ien, Marci"	Liberal
Toronto Centre	"Jaffery, Syed"	People's Party - PPC
Toronto Centre	"Lester, Ryan"	Conservative
Toronto Centre	"Paul, Annamie"	Green Party
Toronto Centre	"Stubbins, Peter"	Animal Protection Party
Toronto–Danforth	"Carey, Michael"	Conservative
Toronto–Danforth	"Dabrusin, Julie"	Liberal
Toronto–Danforth	"Desai, Habiba"	Independent
Toronto–Danforth	"Hacksel, Clare"	NDP-New Democratic Party
Toronto–Danforth	"Rowley, Elizabeth"	Communist
Toronto–Danforth	"Simmons, Wayne"	People's Party - PPC
Toronto–Danforth	"Tollar, Maryem"	Green Party
Toronto–Danforth	"White, Liz"	Animal Protection Party
University–Rosedale	"Freeland, Chrystia"	Liberal
University–Rosedale	"Garvie, Drew"	Communist
University–Rosedale	"Grant, Tim"	Green Party
University–Rosedale	"Kent, David"	People's Party - PPC
University–Rosedale	"Robicheau, Nicole"	NDP-New Democratic Party
University–Rosedale	"Taylor, Steven"	Conservative
Vaughan–Woodbridge	"Devita, Peter Michael"	NDP-New Democratic Party
Vaughan–Woodbridge	"Greco, Mario"	People's Party - PPC
Vaughan–Woodbridge	"Khan, Muhammad Hassan"	Green Party
Vaughan–Woodbridge	"Mele, Luca"	Independent
Vaughan–Woodbridge	"Panacci, Angela"	Conservative
Vaughan–Woodbridge	"Sorbara, Francesco"	Liberal
Waterloo	"Cassels, Jonathan"	NDP-New Democratic Party
Waterloo	"Chagger, Bardish"	Liberal
Waterloo	"Doucette, Patrick"	People's Party - PPC
Waterloo	"Shannon, Meghan"	Conservative
Waterloo	"Villagomez Fajardo, Karla"	Green Party
Wellington–Halton Hills	"Carle, Syl"	People's Party - PPC
Wellington–Halton Hills	"Chong, Michael"	Conservative
Wellington–Halton Hills	"Jahangir, Noor"	NDP-New Democratic Party
Wellington–Halton Hills	"Lang, Melanie"	Liberal
Wellington–Halton Hills	"Zhu, Ran"	Green Party
Whitby	"Androvic, Thomas"	People's Party - PPC
Whitby	"Dias, Brian"	NDP-New Democratic Party
Whitby	"Kotilainen, Johannes"	Green Party
Whitby	"Shahid, Maleeha"	Conservative
Whitby	"Turnbull, Ryan"	Liberal
Willowdale	"Berman, Hal"	NDP-New Democratic Party
Willowdale	"Ehsassi, Ali"	Liberal
Willowdale	"Gorka, Anna"	Green Party
Willowdale	"Lee, Daniel"	Conservative
Willowdale	"Wahab, Al"	People's Party - PPC
Windsor–Tecumseh	"Borrelli, Kathy"	Conservative
Windsor–Tecumseh	"Chesnik, Laura"	Marxist-Leninist
Windsor–Tecumseh	"Green, Victor"	People's Party - PPC
Windsor–Tecumseh	"Hardcastle, Cheryl"	NDP-New Democratic Party
Windsor–Tecumseh	"Kusmierczyk, Irek"	Liberal
Windsor–Tecumseh	"Oulevey, Henry"	Green Party
Windsor West	"Giancola, Matthew"	People's Party - PPC
Windsor West	"Masse, Brian"	NDP-New Democratic Party
Windsor West	"Orlando, Anthony"	Conservative
Windsor West	"Pupatello, Sandra"	Liberal
Windsor West	"Villamizar, Margaret"	Marxist-Leninist
York Centre	"Ahmed, Kemal"	NDP-New Democratic Party
York Centre	"Etienne, Joel Yakov"	Conservative
York Centre	"Nguyen, Nixon"	People's Party - PPC
York Centre	"Saks, Ya'ara"	Liberal
York–Simcoe	"Davidson, Scot"	Conservative
York–Simcoe	"Jenkins, Benjamin"	NDP-New Democratic Party
York–Simcoe	"Johnson, Daniella"	Liberal
York–Simcoe	"Lotter, Michael"	People's Party - PPC
York South–Weston	"Chiu, Sitara"	People's Party - PPC
York South–Weston	"Hussen, Ahmed"	Liberal
York South–Weston	"Mire, Hawa"	NDP-New Democratic Party
York South–Weston	"Mohan, Sajanth"	Conservative
York South–Weston	"Ward, Nicki"	Green Party
Humber River–Black Creek	"Anderson, Raatib"	People's Party - PPC
Humber River–Black Creek	"De Dovitiis, Matias"	NDP-New Democratic Party
Humber River–Black Creek	"Nugent, Christine"	Marxist-Leninist
Humber River–Black Creek	"Sgro, Judy"	Liberal
Humber River–Black Creek	"Shah, Rinku"	Conservative
Humber River–Black Creek	"Tibbin, Unblind"	Green Party