Constituency	Province / Territory
Milton	Ontario
Spadina--Fort York	Ontario
York South--Weston	Ontario
Richmond--Arthabaska	Quebec
La Prairie	Quebec
Bruce--Grey--Owen Sound	Ontario
Brossard--Saint-Lambert	Quebec
Rosemont--La Petite-Patrie	Quebec
Lac-Saint-Jean	Quebec
Willowdale	Ontario
Richmond Centre	British Columbia
Cowichan--Malahat--Langford	British Columbia
Shefford	Quebec
Regina--Qu'Appelle	Saskatchewan
Halifax	Nova Scotia
Alfred-Pellan	Quebec
Oakville	Ontario
Ottawa West--Nepean	Ontario
Dorval--Lachine--LaSalle	Quebec
Vimy	Quebec
Mount Royal	Quebec
Nipissing--Timiskaming	Ontario
Parkdale--High Park	Ontario
Peace River--Westlock	Alberta
Waterloo	Ontario
Huron--Bruce	Ontario
South Shore--St. Margarets	Nova Scotia
Montmagny--L'Islet--Kamouraska--Rivi�re-du-Loup	Quebec
Scarborough Southwest	Ontario
Red Deer--Lacombe	Alberta
Banff--Airdrie	Alberta
Calgary Heritage	Alberta
Hamilton East--Stoney Creek	Ontario
Markham--Unionville	Ontario
Prince George--Peace River--Northern Rockies	British Columbia
Saskatoon West	Saskatchewan
Mission--Matsqui--Fraser Canyon	British Columbia
Ch�teauguay--Lacolle	Quebec
Windsor West	Ontario
Simcoe North	Ontario
Cambridge	Ontario
Portage--Lisgar	Manitoba
Delta	British Columbia
Algoma--Manitoulin--Kapuskasing	Ontario
Beauport--C�te-de-Beaupr�--�le d'Orl�ans--Charlevoix	Quebec
Toronto--St. Paul's	Ontario
Yorkton--Melville	Saskatchewan
Ottawa Centre	Ontario
Kamloops--Thompson--Cariboo	British Columbia
Nepean	Ontario
Timmins--James Bay	Ontario
Renfrew--Nipissing--Pembroke	Ontario
St. Catharines	Ontario
West Nova	Nova Scotia
Essex	Ontario
Grande Prairie--Mackenzie	Alberta
Saint-Jean	Quebec
University--Rosedale	Ontario
Bonavista--Burin--Trinity	Newfoundland and Labrador
Salaberry--Suro�t	Quebec
Oshawa	Ontario
Saskatoon--University	Saskatchewan
Battle River--Crowfoot	Alberta
Central Okanagan--Similkameen--Nicola	British Columbia
Dauphin--Swan River--Neepawa	Manitoba
Saint Boniface--Saint Vital	Manitoba
Sturgeon River--Parkland	Alberta
Elmwood--Transcona	Manitoba
Sackville--Preston--Chezzetcook	Nova Scotia
Dartmouth--Cole Harbour	Nova Scotia
Chatham-Kent--Leamington	Ontario
Oxford	Ontario
LaSalle--�mard--Verdun	Quebec
Ottawa South	Ontario
Flamborough--Glanbrook	Ontario
Fort McMurray--Cold Lake	Alberta
Niagara West	Ontario
King--Vaughan	Ontario
Longueuil--Saint-Hubert	Quebec
Hastings--Lennox and Addington	Ontario
Haldimand--Norfolk	Ontario
Gasp�sie--Les �les-de-la-Madeleine	Quebec
Beaus�jour	New Brunswick
Vancouver Kingsway	British Columbia
Barrie--Springwater--Oro-Medonte	Ontario
Red Deer--Mountain View	Alberta
Abbotsford	British Columbia
Sherbrooke	Quebec
Saanich--Gulf Islands	British Columbia
Bourassa	Quebec
Saint-Laurent	Quebec
Stormont--Dundas--South Glengarry	Ontario
Kenora	Ontario
Durham	Ontario
Laval--Les �les	Quebec
Hamilton West--Ancaster--Dundas	Ontario
Vaughan--Woodbridge	Ontario
Glengarry--Prescott--Russell	Ontario
Lac-Saint-Louis	Quebec
Saint-Maurice--Champlain	Quebec
Joliette	Quebec
Mississauga--Streetsville	Ontario
Sherwood Park--Fort Saskatchewan	Alberta
Scarborough--Rouge Park	Ontario
Desneth�--Missinippi--Churchill River	Saskatchewan
Halifax West	Nova Scotia
Yellowhead	Alberta
Louis-Saint-Laurent	Quebec
Moncton--Riverview--Dieppe	New Brunswick
Medicine Hat--Cardston--Warner	Alberta
Courtenay--Alberni	British Columbia
Hull--Aylmer	Quebec
Calgary Centre	Alberta
Long Range Mountains	Newfoundland and Labrador
Don Valley North	Ontario
Vancouver South	British Columbia
Edmonton Strathcona	Alberta
Vancouver Centre	British Columbia
Markham--Stouffville	Ontario
Mississauga--Erin Mills	Ontario
Windsor--Tecumseh	Ontario
St. John's East	Newfoundland and Labrador
L�vis--Lotbini�re	Quebec
Calgary Skyview	Alberta
Burnaby South	British Columbia
Sydney--Victoria	Nova Scotia
Selkirk--Interlake--Eastman	Manitoba
Edmonton Centre	Alberta
Etobicoke--Lakeshore	Ontario
Haliburton--Kawartha Lakes--Brock	Ontario
Calgary Forest Lawn	Alberta
Scarborough--Agincourt	Ontario
Qu�bec	Quebec
Fredericton	New Brunswick
Pickering--Uxbridge	Ontario
Vancouver East	British Columbia
Cypress Hills--Grasslands	Saskatchewan
Winnipeg South Centre	Manitoba
Vancouver Granville	British Columbia
Portneuf--Jacques-Cartier	Quebec
Louis-H�bert	Quebec
Foothills	Alberta
Barrie--Innisfil	Ontario
Scarborough--Guildwood	Ontario
Perth--Wellington	Ontario
New Brunswick Southwest	New Brunswick
North Vancouver	British Columbia
Vancouver Quadra	British Columbia
Humber River--Black Creek	Ontario
Toronto--Danforth	Ontario
Davenport	Ontario
Beauport--Limoilou	Quebec
Papineau	Quebec
Brampton West	Ontario
Kanata--Carleton	Ontario
Elgin--Middlesex--London	Ontario
Burlington	Ontario
London West	Ontario
Carlton Trail--Eagle Creek	Saskatchewan
Edmonton West	Alberta
Fleetwood--Port Kells	British Columbia
Avalon	Newfoundland and Labrador
Steveston--Richmond East	British Columbia
Edmonton Griesbach	Alberta
South Surrey--White Rock	British Columbia
Winnipeg North	Manitoba
Saskatoon--Grasswood	Saskatchewan
Etobicoke North	Ontario
Kings--Hants	Nova Scotia
Avignon--La Mitis--Matane--Matap�dia	Quebec
Dufferin--Caledon	Ontario
Yukon	Yukon
Brandon--Souris	Manitoba
Victoria	British Columbia
Cardigan	Prince Edward Island
Winnipeg Centre	Manitoba
Calgary Confederation	Alberta
Cumberland--Colchester	Nova Scotia
Aurora--Oak Ridges--Richmond Hill	Ontario
Lambton--Kent--Middlesex	Ontario
London--Fanshawe	Ontario
Guelph	Ontario
B�cancour--Nicolet--Saurel	Quebec
Th�r�se-De Blainville	Quebec
Trois-Rivi�res	Quebec
M�gantic--L'�rable	Quebec
Rivi�re-des-Mille-�les	Quebec
Montcalm	Quebec
Brome--Missisquoi	Quebec
Richmond Hill	Ontario
Brampton East	Ontario
Pitt Meadows--Maple Ridge	British Columbia
Notre-Dame-de-Gr�ce--Westmount	Quebec
Ville-Marie--Le Sud-Ouest--�le-des-Soeurs	Quebec
Nickel Belt	Ontario
Toronto Centre	Ontario
Eglinton--Lawrence	Ontario
Thunder Bay--Rainy River	Ontario
Compton--Stanstead	Quebec
Orl�ans	Ontario
Laurentides--Labelle	Quebec
Manicouagan	Quebec
Sarnia--Lambton	Ontario
La Pointe-de-l'�le	Quebec
Jonqui�re	Quebec
Kingston and the Islands	Ontario
Ajax	Ontario
Chilliwack--Hope	British Columbia
Drummond	Quebec
Bow River	Alberta
Charleswood--St. James--Assiniboia--Headingley	Manitoba
Kitchener South--Hespeler	Ontario
Markham--Thornhill	Ontario
Peterborough--Kawartha	Ontario
Edmonton Riverbend	Alberta
Hamilton Centre	Ontario
Rimouski-Neigette--T�miscouata--Les Basques	Quebec
North Okanagan--Shuswap	British Columbia
Ahuntsic-Cartierville	Quebec
Leeds--Grenville--Thousand Islands and Rideau Lakes	Ontario
Wellington--Halton Hills	Ontario
St. Albert--Edmonton	Alberta
Regina--Wascana	Saskatchewan
Northwest Territories	Northwest Territories
Terrebonne	Quebec
Calgary Nose Hill	Alberta
Cape Breton--Canso	Nova Scotia
Edmonton--Wetaskiwin	Alberta
Ottawa--Vanier	Ontario
Repentigny	Quebec
Nunavut	Nunavut
Beaches--East York	Ontario
Mississauga--Malton	Ontario
Bay of Quinte	Ontario
Port Moody--Coquitlam	British Columbia
Churchill--Keewatinook Aski	Manitoba
Mississauga Centre	Ontario
Honor�-Mercier	Quebec
Oakville North--Burlington	Ontario
Miramichi--Grand Lake	New Brunswick
Calgary Rocky Ridge	Alberta
Saint-L�onard--Saint-Michel	Quebec
West Vancouver--Sunshine Coast--Sea to Sky Country	British Columbia
Thunder Bay--Superior North	Ontario
Sudbury	Ontario
Nanaimo--Ladysmith	British Columbia
Mississauga East--Cooksville	Ontario
London North Centre	Ontario
New Westminster--Burnaby	British Columbia
Thornhill	Ontario
Vaudreuil--Soulanges	Quebec
Brantford--Brant	Ontario
Northumberland--Peterborough South	Ontario
Charlesbourg--Haute-Saint-Charles	Quebec
Carleton	Ontario
Lethbridge	Alberta
Outremont	Quebec
North Island--Powell River	British Columbia
Kitchener Centre	Ontario
Brampton Centre	Ontario
Esquimalt--Saanich--Sooke	British Columbia
Surrey Centre	British Columbia
Prince Albert	Saskatchewan
Kildonan--St. Paul	Manitoba
Madawaska--Restigouche	New Brunswick
Rivi�re-du-Nord	Quebec
Tobique--Mactaquac	New Brunswick
South Okanagan--West Kootenay	British Columbia
Beauce	Quebec
Chicoutimi--Le Fjord	Quebec
Fundy Royal	New Brunswick
Kootenay--Columbia	British Columbia
Souris--Moose Mountain	Saskatchewan
Egmont	Prince Edward Island
Don Valley West	Ontario
Calgary Signal Hill	Alberta
Coquitlam--Port Coquitlam	British Columbia
Battlefords--Lloydminster	Saskatchewan
Brampton North	Ontario
Whitby	Ontario
Scarborough Centre	Ontario
Pierrefonds--Dollard	Quebec
York--Simcoe	Ontario
Parry Sound--Muskoka	Ontario
Hamilton Mountain	Ontario
Lanark--Frontenac--Kingston	Ontario
Coast of Bays--Central--Notre Dame	Newfoundland and Labrador
St. John's South--Mount Pearl	Newfoundland and Labrador
Charlottetown	Prince Edward Island
Central Nova	Nova Scotia
Abitibi--T�miscamingue	Quebec
Acadie--Bathurst	New Brunswick
Lakeland	Alberta
Scarborough North	Ontario
Longueuil--Charles-LeMoyne	Quebec
Mirabel	Quebec
Saint-Hyacinthe--Bagot	Quebec
Brampton South	Ontario
Hochelaga	Quebec
Montarville	Quebec
Argenteuil--La Petite-Nation	Quebec
Calgary Midnapore	Alberta
Bellechasse--Les Etchemins--L�vis	Quebec
Laurier--Sainte-Marie	Quebec
Gatineau	Quebec
Surrey--Newton	British Columbia
Mississauga--Lakeshore	Ontario
Abitibi--Baie-James--Nunavik--Eeyou	Quebec
Langley--Aldergrove	British Columbia
Cloverdale--Langley City	British Columbia
Skeena--Bulkley Valley	British Columbia
Provencher	Manitoba
Burnaby North--Seymour	British Columbia
Simcoe--Grey	Ontario
Winnipeg South	Manitoba
Sault Ste. Marie	Ontario
Kitchener--Conestoga	Ontario
Edmonton Mill Woods	Alberta
Cariboo--Prince George	British Columbia
Calgary Shepard	Alberta
Moose Jaw--Lake Centre--Lanigan	Saskatchewan
Niagara Falls	Ontario
Newmarket--Aurora	Ontario
Kelowna--Lake Country	British Columbia
Niagara Centre	Ontario
Regina--Lewvan	Saskatchewan
Malpeque	Prince Edward Island
Saint John--Rothesay	New Brunswick
Pontiac	Quebec
Pierre-Boucher--Les Patriotes--Verch�res	Quebec
York Centre	Ontario
Don Valley East	Ontario
Etobicoke Centre	Ontario
Berthier--Maskinong�	Quebec
Marc-Aur�le-Fortin	Quebec
Beloeil--Chambly	Quebec
Labrador	Newfoundland and Labrador
Edmonton Manning	Alberta